,sitename,PISCO_CODE,lat_wgs84,lon_wgs84,associated_mpa,MPA_STATUS,YEAR_MPA,island,CAMPUS,year,month,day,method
130,SAL_S,SSAL02,-120.6300833,34.871733,Vandenberg SMR,reference,0,Mainland,UCSB,1999,11,15,SBTL_SWATH
131,SAL_W,SSAL01,-120.6327,34.8726667,Vandenberg SMR,reference,0,Mainland,UCSB,2002,9,25,SBTL_SWATH
126,SALMON_CREEK_DC,SSLC02,-121.3658855,35.8061758,Piedras Blancas SMR,reference,0,Mainland,UCSC,2003,9,17,SBTL_SWATH
127,SALMON_CREEK_UC,SSLC01,-121.3749667,35.8081,Piedras Blancas SMR,reference,0,Mainland,UCSC,2003,9,17,SBTL_SWATH
134,SAN_SIMEON_BAY_CEN,SSMB01,-121.1646993,35.6240499,Cambria SMCA,reference,0,Mainland,UCSC,2007,7,31,SBTL_SWATH
135,SAN_SIMEON_DC,SSSM02,-121.190248,35.631667,Cambria SMCA,reference,0,Mainland,UCSC,2003,8,7,SBTL_SWATH
136,SAN_SIMEON_UC,SSSM01,-121.1949397,35.6305674,Cambria SMCA,reference,0,Mainland,UCSC,2003,8,7,SBTL_SWATH
132,SANDHILL_DC,SSNH02,-122.1494286,36.9729305,Natural Bridges SMR,reference,0,Mainland,UCSC,1999,9,17,SBTL_SWATH
133,SANDHILL_UC,SSNH01,-122.1521087,36.9743055,Natural Bridges SMR,reference,0,Mainland,UCSC,1999,9,17,SBTL_SWATH
137,SCI_CAVERN_POINT_E,SCAV02,-119.566867,34.054283,Scorpion SMR,SMR,2003,Santa Cruz Island,UCSB,2007,7,3,SBTL_SWATH
138,SCI_CAVERN_POINT_W,SCAV01,-119.5713,34.05275,Scorpion SMR,SMR,2003,Santa Cruz Island,UCSB,2007,7,3,SBTL_SWATH
139,SCI_COCHE_POINT_E,SCCH02,-119.6014,34.044933,Scorpion SMR,reference,0,Santa Cruz Island,UCSB,2004,8,12,SBTL_SWATH
140,SCI_COCHE_POINT_W,SCCH01,-119.604,34.04265,Scorpion SMR,reference,0,Santa Cruz Island,UCSB,2004,8,13,SBTL_SWATH
141,SCI_FORNEY_E,SFOR02,-119.909667,34.051483,Painted Cave SMCA,reference,0,Santa Cruz Island,UCSB,2001,9,12,SBTL_SWATH
142,SCI_FORNEY_W,SFOR01,-119.9182,34.053883,Painted Cave SMCA,reference,0,Santa Cruz Island,UCSB,2001,9,12,SBTL_SWATH
143,SCI_GULL_ISLE_E,SGLI02,-119.823183,33.946467,Gull Island SMR,SMR,2003,Santa Cruz Island,UCSB,2004,8,11,SBTL_SWATH
144,SCI_GULL_ISLE_W,SGLI01,-119.82795,33.948167,Gull Island SMR,SMR,2003,Santa Cruz Island,UCSB,2004,8,11,SBTL_SWATH
145,SCI_HAZARDS_CEN,SHAZ03,-119.821167,34.056583,Painted Cave SMCA,reference,0,Santa Cruz Island,UCSB,2000,9,22,SBTL_SWATH
146,SCI_HAZARDS_E,SHAZ02,-119.81935,34.054383,Painted Cave SMCA,reference,0,Santa Cruz Island,UCSB,2000,10,20,SBTL_SWATH
147,SCI_HAZARDS_W,SHAZ01,-119.824833,34.0581,Painted Cave SMCA,reference,0,Santa Cruz Island,UCSB,2000,10,12,SBTL_SWATH
148,SCI_LITTLE_SCORPION_E,SLSC02,-119.535733,34.0434,Scorpion SMR,reference,0,Santa Cruz Island,UCSB,2007,7,2,SBTL_SWATH
149,SCI_LITTLE_SCORPION_W,SLSC01,-119.54245,34.04415,Scorpion SMR,reference,0,Santa Cruz Island,UCSB,2007,7,2,SBTL_SWATH
150,SCI_PAINTED_CAVE_CEN,SPTC03,-119.870983,34.072867,Painted Cave SMCA,SMCA,2003,Santa Cruz Island,UCSB,2004,7,14,SBTL_SWATH
151,SCI_PAINTED_CAVE_E,SPTC02,-119.85755,34.0719,Painted Cave SMCA,SMCA,2003,Santa Cruz Island,UCSB,2004,7,13,SBTL_SWATH
152,SCI_PAINTED_CAVE_W,SPTC01,-119.882133,34.074483,Painted Cave SMCA,SMCA,2003,Santa Cruz Island,UCSB,2004,7,14,SBTL_SWATH
153,SCI_PELICAN_CEN,SPEL04,-119.69665,34.03065,Scorpion SMR,reference,0,Santa Cruz Island,UCSB,2000,9,21,SBTL_SWATH
154,SCI_PELICAN_E,SPEL03,-119.690917,34.02805,Scorpion SMR,reference,0,Santa Cruz Island,UCSB,2000,9,21,SBTL_SWATH
155,SCI_PELICAN_W,SPEL01,-119.7023,34.035867,Scorpion SMR,reference,0,Santa Cruz Island,UCSB,2000,9,22,SBTL_SWATH
156,SCI_POTATO_PASTURE_E,SPOP02,-119.575883,34.050983,Scorpion SMR,SMR,2003,Santa Cruz Island,UCSB,2007,7,3,SBTL_SWATH
157,SCI_POTATO_PASTURE_W,SPOP01,-119.582117,34.052167,Scorpion SMR,SMR,2003,Santa Cruz Island,UCSB,2007,7,3,SBTL_SWATH
158,SCI_SAN_PEDRO_POINT_E,SSPP02,-119.5253,34.038367,Scorpion SMR,reference,0,Santa Cruz Island,UCSB,2007,7,2,SBTL_SWATH
159,SCI_SAN_PEDRO_POINT_W,SSPP01,-119.5316,34.04225,Scorpion SMR,reference,0,Santa Cruz Island,UCSB,2007,7,2,SBTL_SWATH
160,SCI_SCORPION_ANCHORAGE_CEN,SSCA01,-119.5514,34.047983,Scorpion SMR,SMR,2003,Santa Cruz Island,UCSB,2007,7,6,SBTL_SWATH
161,SCI_SCORPION_E,SSCP02,-119.546367,34.048467,Scorpion SMR,SMR,2003,Santa Cruz Island,UCSB,2004,8,18,SBTL_SWATH
162,SCI_SCORPION_W,SSCP01,-119.55525,34.0525,Scorpion SMR,SMR,2003,Santa Cruz Island,UCSB,2004,8,18,SBTL_SWATH
163,SCI_VALLEY_CEN,SVAL03,-119.6384,33.983617,Gull Island SMR,reference,0,Santa Cruz Island,UCSB,2004,11,18,SBTL_SWATH
164,SCI_VALLEY_E,SVAL02,-119.620317,33.98355,Gull Island SMR,reference,0,Santa Cruz Island,UCSB,2004,11,18,SBTL_SWATH
165,SCI_VALLEY_W,SVAL01,-119.6637,33.9817,Gull Island SMR,reference,0,Santa Cruz Island,UCSB,2004,11,18,SBTL_SWATH
166,SCI_YELLOWBANKS_CEN,SYEL03,-119.546983,33.988533,Gull Island SMR,reference,0,Santa Cruz Island,UCSB,2001,9,25,SBTL_SWATH
167,SCI_YELLOWBANKS_E,SYEL02,-119.5459333,34.0004333,Gull Island SMR,reference,0,Santa Cruz Island,UCSB,2001,9,25,SBTL_SWATH
168,SCI_YELLOWBANKS_W,SYEL01,-119.564933,33.9893,Gull Island SMR,reference,0,Santa Cruz Island,UCSB,2002,7,17,SBTL_SWATH
169,SIREN_CEN,SSRN01,-121.9185902,36.6307335,Pac Grove Marine Gardens SMCA,SMCA,2007,Mainland,UCSC,2007,7,27,SBTL_SWATH
170,SMI_CROOK_POINT_E,SCRK02,-120.3305,34.015867,Harris Point SMR,reference,0,San Miguel Island,UCSB,2004,9,9,SBTL_SWATH
171,SMI_CROOK_POINT_W,SCRK01,-120.337333,34.01385,Harris Point SMR,reference,0,San Miguel Island,UCSB,2004,9,9,SBTL_SWATH
172,SMI_CUYLER_E,SCUY02,-120.346183,34.051717,Harris Point SMR,reference,0,San Miguel Island,UCSB,2004,9,23,SBTL_SWATH
173,SMI_CUYLER_W,SCUY01,-120.3526,34.05705,Harris Point SMR,reference,0,San Miguel Island,UCSB,2004,9,23,SBTL_SWATH
174,SMI_HARRIS_PT_RESERVE_E,SHPT02,-120.337383,34.052783,Harris Point SMR,SMR,2003,San Miguel Island,UCSB,2004,7,8,SBTL_SWATH
175,SMI_HARRIS_PT_RESERVE_W,SHPT01,-120.355983,34.063683,Harris Point SMR,SMR,2003,San Miguel Island,UCSB,2004,7,8,SBTL_SWATH
176,SMI_TYLER_BIGHT_E,STYB02,-120.4067,34.025467,Harris Point SMR,reference,0,San Miguel Island,UCSB,2004,9,8,SBTL_SWATH
177,SMI_TYLER_BIGHT_W,STYB01,-120.411744,34.027292,Harris Point SMR,reference,0,San Miguel Island,UCSB,2004,9,8,SBTL_SWATH
178,SOBERANES_CEN,SSOB01,-121.9291444,36.4453426,Pt Lobos SMR,reference,0,Mainland,UCSC,2006,8,23,SBTL_SWATH
